School_Number,School_Name,LA_Code,Local_Authority,Sector,Governance,WM_Code,Welsh_Medium_Type,School_Type,Religious_Character,Address1,Address2,Address3,Address4,Postcode,Phone_Number,Pupils,fsm_3yr_pct,pupil_teacher_ratio,attendance_pct,school_budget_per_pupil,capped9_points,literacy_points,numeracy_points,science_points,welsh_bacc_points,estyn_report_url
6612219,Ysgol Tanycastell,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Harlech,Gwynedd,,,LL46 2UE,01766780454,82,,,,,,,,,,
6612220,Ysgol Ffridd y LLyn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Cefnddwysarn,Bala,Gwynedd,,LL23 7HE,01678530373,44,,,,,,,,,,
6612221,Ysgol Maenofferen,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Blaenau Ffestiniog,Gwynedd,,,LL41 3UL,01766831256,219,,,,,,,,,,
6612227,Ysgol Hirael,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Orme Road,Bangor,Gwynedd,,LL57 1BA,01248352182,207,,,,,,,,,,
6612228,Ysgol Craig y Deryn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanegryn,Gwynedd,,,LL36 9SG,01654710463,95,,,,,,,,,,
6612229,Ysgol Bro Llifon,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Groeslon,Caernarfon,,,LL54 7DT,01286831033,150,,,,,,,,,,
6613004,YSGOL PONT Y GOF,661,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Botwnnog,Pwllheli,Gwynedd,,LL53 8RA,01758730318,96,,,,,,,,,,
6613005,Ysgol Gynradd Maesincla,661,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Maesincla Caernarfon,Gwynedd,,,LL55 1DF,01286673787,279,,,,,,,,,,
6613009,Ysgol Y Faenol,661,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Penrhosgarnedd,Bangor,Gwynedd,,LL57 2NN,01248352162,217,,,,,,,,,,
6613010,YSGOL FOEL GRON,661,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Mynytho,Pwllheli,Gwynedd,,LL53 7RN,01758740567,34,,,,,,,,,,
6613013,Ysgol Llandygai,661,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Llandygai,Bangor,Gwynedd,,LL57 4HU,01248352163,97,,,,,,,,,,
6613018,Ysgol Gynradd Llandwrog,661,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Llandwrog,Caernarfon,Gwynedd,,LL54 5ST,01286830223,43,,,,,,,,,,
